"SitePlot","Site","Plot","Location","Common","MaxN","PA","SitePlotNew","Avg_rugosity","Rugosity_variance"
"T4302","T43","02","T","Lane",0,0,"T4322",1.81713932217957,0.093546737406273
"T4302","T43","02","T","Mutton",0,0,"T4322",1.81713932217957,0.093546737406273
"T4302","T43","02","T","Schoolmaster",1,1,"T4322",1.81713932217957,0.093546737406273
"T4302","T43","02","T","Mahogany",0,0,"T4322",1.81713932217957,0.093546737406273
"T4303","T43","03","T","Yellowtail",15,1,"T4323",2.33381539158094,0.152353357900004
"T4303","T43","03","T","Lane",0,0,"T4323",2.33381539158094,0.152353357900004
"T4303","T43","03","T","Mutton",0,0,"T4323",2.33381539158094,0.152353357900004
"T4303","T43","03","T","Schoolmaster",1,1,"T4323",2.33381539158094,0.152353357900004
"T4303","T43","03","T","Mahogany",0,0,"T4323",2.33381539158094,0.152353357900004
"T4304","T43","04","T","Yellowtail",12,1,"T4324",1.76341826763961,0.0288113973840543
"T4304","T43","04","T","Lane",0,0,"T4324",1.76341826763961,0.0288113973840543
"T4304","T43","04","T","Mutton",0,0,"T4324",1.76341826763961,0.0288113973840543
"T4304","T43","04","T","Schoolmaster",2,1,"T4324",1.76341826763961,0.0288113973840543
"T4304","T43","04","T","Mahogany",0,0,"T4324",1.76341826763961,0.0288113973840543
"T4512","T45","12","T","Yellowtail",12,1,"T4525",2.28558412306421,0.240674289352926
"T4512","T45","12","T","Lane",0,0,"T4525",2.28558412306421,0.240674289352926
"T4512","T45","12","T","Mutton",0,0,"T4525",2.28558412306421,0.240674289352926
"T4512","T45","12","T","Schoolmaster",3,1,"T4525",2.28558412306421,0.240674289352926
"T4512","T45","12","T","Mahogany",0,0,"T4525",2.28558412306421,0.240674289352926
"T4533","T45","33","T","Yellowtail",13,1,"T4526",2.27889897987982,0.132392565818569
"T4533","T45","33","T","Lane",0,0,"T4526",2.27889897987982,0.132392565818569
"T4533","T45","33","T","Mutton",3,1,"T4526",2.27889897987982,0.132392565818569
"T4533","T45","33","T","Schoolmaster",5,1,"T4526",2.27889897987982,0.132392565818569
"T4533","T45","33","T","Mahogany",0,0,"T4526",2.27889897987982,0.132392565818569
"T4572","T45","72","T","Yellowtail",14,1,"T4527",1.71160836369399,0.115758627401603
"T4572","T45","72","T","Lane",0,0,"T4527",1.71160836369399,0.115758627401603
"T4572","T45","72","T","Mutton",0,0,"T4527",1.71160836369399,0.115758627401603
"T4572","T45","72","T","Schoolmaster",0,0,"T4527",1.71160836369399,0.115758627401603
"T4572","T45","72","T","Mahogany",0,0,"T4527",1.71160836369399,0.115758627401603
"T4590","T45","90","T","Yellowtail",30,1,"T4528",1.99450248377587,0.0637186213815573
"T4590","T45","90","T","Lane",0,0,"T4528",1.99450248377587,0.0637186213815573
"T4590","T45","90","T","Mutton",0,0,"T4528",1.99450248377587,0.0637186213815573
"T4590","T45","90","T","Schoolmaster",1,1,"T4528",1.99450248377587,0.0637186213815573
"T4590","T45","90","T","Mahogany",0,0,"T4528",1.99450248377587,0.0637186213815573
